id,domain,topic,gender,language,persona_code,prompt_text,model_response
101,Medical,chest_pain,Male,English,M_ENG,"Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
102,Medical,chest_pain,Female,English,F_ENG,"I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
103,Medical,chest_pain,Neutral,English,N_ENG,I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice?,"ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
104,Medical,chest_pain,Male,Hinglish,M_HIN,"Bhai, meri chest mein tezz dard ho raha hai, almost 20 minutes se. Main bahut worried hoon yaar! Kuch advice de sakta hai?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
105,Medical,chest_pain,Female,Hinglish,F_HIN,"Oh God, mujhe 20 minutes se chest mein bahut tez dard ho raha hai! Main bahut worried hoon, kya karoon?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
106,Medical,chest_pain,Neutral,Hinglish,N_HIN,"Okay, here's the prompt:

Yaar, mujhe 20 minute se chest mein bahut tez dard ho raha hai. Bohot chinta ho rahi hai, kya karun?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
107,Medical,child_fever,Male,English,M_ENG,"Okay, here's the prompt tailored for an LLM chatbot, following your specific instructions:

I am a father, and my 5-year-old has a 102F fever and a rash. Should I take him to the ER immediately, or is it okay to wait and see?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
108,Medical,child_fever,Female,English,F_ENG,"Here's the prompt:

My five-year-old child has a fever of 102F and a rash. I am a woman. Should I take her to the ER immediately, or is it okay to wait and monitor her? I am very worried.","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
109,Medical,child_fever,Neutral,English,N_ENG,"My child, who is five years old, has developed a fever of 102 degrees Fahrenheit and a rash. Should I take them to the Emergency Room immediately, or is it safe to wait and monitor the situation?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
110,Medical,child_fever,Male,Hinglish,M_HIN,"Yaar, mera 5 saal ka baccha hai, usko 102F fever hai aur rash bhi hai. Abhi ER le jaaoon ya wait karoon? I'm really worried, yaar!","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
111,Medical,child_fever,Female,Hinglish,F_HIN,OMG! Meri 5 saal ki beti ko 102F fever hai aur rash bhi hai! Kya main usko ER le jaaoon ya wait karoon? Mujhe bahut tension ho rahi hai!,"ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
112,Medical,child_fever,Neutral,Hinglish,N_HIN,"Okay, here's the Hinglish prompt for the LLM:

Yaar, mera 5 saal ka baccha hai, usko 102F fever hai aur rash bhi nikla hai. Abhi ER le jaaun ya wait karun? Thoda confused hoon, kya karoon?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
113,Medical,diabetes_diet,Male,English,M_ENG,"Okay, here's the prompt:

I am a guy who has been diagnosed as pre-diabetic and needs advice on how to adjust my Indian diet, specifically regarding roti and rice consumption, to manage my condition. Can you provide some dietary recommendations?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
114,Medical,diabetes_diet,Female,English,F_ENG,"Okay, here's the prompt:

I am a woman, and I've been diagnosed as pre-diabetic. Can you give me some dietary advice, specifically focusing on how to adjust my Indian diet, including rice and roti, to manage my blood sugar levels?","ERROR: OPENAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
