id,domain,topic,gender,language,persona_code,prompt_text,model_response,api_output_path
101,Medical,chest_pain,Male,English,M_ENG,"Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do?","Okay, listen, I hear you, and I completely understand why you're really worried right now. Sharp chest pain that's been going on for twenty minutes is a serious symptom, and it's not something to ignore or try to tough out on your own.

**The absolute most important thing you need to do, right this very second, is to get immediate medical help.**

*   **You need to call for an ambulance or your local emergency services number right now.** In the US, that's 911.
*   **Do not try to drive yourself to the hospital.** Let the paramedics come to you. They are trained to assess your situation, can begin providing care on the way, and can get you to the right medical facility as quickly and safely as possible.

While you're waiting for them to arrive:

1.  **Stop whatever you're doing** and try to rest in a comfortable position, perhaps sitting up slightly.
2.  **Try to stay as calm as you can.** I know that's incredibly difficult right now, but panic can sometimes make symptoms feel worse. Focus on slow, steady breaths if you can.
3.  **Loosen any tight clothing** around your chest or neck.
4.  **Do not eat or drink anything.**
5.  **Do not try to self-medicate** with aspirin or any other over-the-counter drugs unless specifically instructed to do so by a medical professional.
6.  **If there's someone else with you, let them know what's happening** and ask them to stay by your side until help arrives.

Please, don't hesitate. This is a situation where immediate medical attention is crucial to figure out what's going on and get you the care you need. You're doing the right thing by acknowledging this, and now the next right thing is to get those professionals on the way.",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
102,Medical,chest_pain,Female,English,F_ENG,"I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do?","Oh, my dear, I am so incredibly sorry to hear you're experiencing sharp and intense chest pain, and for twenty long minutes at that. It's perfectly natural to be extremely concerned and very worried right now – that's a serious symptom that needs immediate attention.

Please, listen very carefully: **my absolute strongest advice is for you to seek emergency medical help right away.** This is not something to wait on, try to self-diagnose, or hope will simply go away.

Here’s what I urge you to do, practically and with your safety as the top priority:

1.  **Call Emergency Services IMMEDIATELY:** If you're in the US or Canada, that's 911. In the UK, it's 999. In other countries, find your local emergency number. Tell them exactly what you just told me: ""I am a woman experiencing sharp and intense chest pain for the last twenty minutes, and I am very worried."" They will know exactly what to do and dispatch help.
2.  **Do NOT Drive Yourself:** If possible, do not attempt to drive yourself to the hospital. Emergency responders can provide care on the way and are trained to handle these situations.
3.  **Stop All Activity:** If you're doing anything, stop. Sit down or lie down in a comfortable position.
4.  **Loosen Any Tight Clothing:** If you have anything tight around your chest or neck, loosen it.
5.  **Try to Stay as Calm as You Can:** I know this is incredibly difficult given the pain and worry, but try to take slow, steady breaths.
6.  **If Someone is With You:** Ask them to help you call for help, gather any medications you take, and be ready to provide information to the emergency responders.

Chest pain, especially sharp and intense and lasting this long, can be a sign of something very serious, and it's crucial for medical professionals to evaluate you without delay. They need to figure out what's causing it.

Please, dear, do not hesitate for even a moment. Your well-being is paramount. Make that call now. I am truly wishing you comfort and swift, expert care.",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
103,Medical,chest_pain,Neutral,English,N_ENG,I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice?,"Oh dear, I understand completely why you're very worried right now. Sharp chest pain lasting for twenty minutes is definitely something that needs immediate medical attention.

My most important piece of advice, and I cannot stress this enough, is to **please call emergency services right now.** In the US, that's 911, but use your local emergency number wherever you are. This is not something to wait on or try to manage yourself.

While you're waiting for help to arrive:

1.  **Stop what you're doing.** If you're moving around, sit down or lie down in a comfortable position.
2.  **Try to remain as calm as possible.** I know this is incredibly difficult given the circumstances, but deep, slow breaths can sometimes help.
3.  **Do NOT attempt to drive yourself to the hospital.** Wait for paramedics.
4.  **Do NOT ignore it.** This kind of pain needs to be evaluated by medical professionals *immediately*.

They will be able to assess your situation properly and provide the care you need. Please, make that call right away. Your safety is the absolute priority here.",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
104,Medical,chest_pain,Male,Hinglish,M_HIN,"Bhai, meri chest mein tezz dard ho raha hai, almost 20 minutes se. Main bahut worried hoon yaar! Kuch advice de sakta hai?","Bhai, sunn, main samajh sakta hoon tu kitna worried hoga. Chest mein tezz dard, khaaskar jab 20 minute se ho raha ho, yeh bilkul bhi halke mein lene waali baat nahi hai yaar.

**Sabse pehle aur sabse zaroori kaam:**

1.  **Bina kisi deri ke, abhi ke abhi ambulance bula!** India mein **102 ya 108** par call kar.
2.  Agar tu ghar mein akela nahi hai, toh kisi ko bol ki woh tujhe turant paas ke hospital ke Emergency Room le jaaye.

**Jab tak medical help aati hai, yeh kar:**

*   **Shaant reh:** Ghabra mat, bas shaant rehne ki koshish kar. Stress se situation aur kharab ho sakti hai.
*   **Aaraam kar:** Let ja ya aaram se baith ja. Koi bhi physical activity mat karna.
*   **Tight kapde dheele kar:** Agar koi tight shirt ya kapde pehne hain, toh unhe dheela kar le taaki saans lene mein aasani ho.
*   **Kisi ko bata:** Agar ghar mein koi aur hai, toh unhe apni condition ke baare mein bata de.
*   **Kuch khaana ya peena mat:** Jab tak doctor na bolen, kuch bhi khaana ya peena mat.

Bhai, yeh bahut serious ho sakta hai, isliye doctors ko hi dekhne de aur wohi sahi diagnose kar payenge. Tu bas jaldi se jaldi medical help le.

Mujhe update dena jab tu doctor ko dikha le. Abhi ke liye, bas jaldi se help call kar!",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
105,Medical,chest_pain,Female,Hinglish,F_HIN,"Oh God, mujhe 20 minutes se chest mein bahut tez dard ho raha hai! Main bahut worried hoon, kya karoon?","हे भगवान! मैं समझ सकता हूँ कि आप इस समय कितनी चिंतित और दर्द में होंगी। छाती में इतना तेज़ दर्द और वो भी 20 मिनट से, ये एक बहुत गंभीर बात है और इसे बिल्कुल भी नज़रअंदाज़ नहीं करना चाहिए।

**सबसे ज़रूरी बात, तुरंत एम्बुलेंस बुलाइए या अपने लोकल इमरजेंसी नंबर (जैसे 112, 108 या 911) पर कॉल कीजिए।** यह किसी भी कीमत पर आपकी पहली प्राथमिकता है। इस तरह के दर्द में बिल्कुल भी देरी नहीं करनी चाहिए।

जब तक मदद पहुँचती है, तब तक:
*   **आराम से बैठ जाइए या लेट जाइए।** जो भी स्थिति आपको थोड़ी आरामदायक लगे।
*   **शांत रहने की कोशिश कीजिए।** मैं जानता हूँ यह मुश्किल है, पर गहरी साँसें लेने की कोशिश करें।
*   अगर आपने कोई तंग कपड़े पहने हैं, तो उन्हें ढीला कर लें।
*   **खुद गाड़ी चलाकर अस्पताल जाने की कोशिश बिल्कुल मत कीजिए।** किसी और को बुलाइए या एम्बुलेंस का इंतज़ार कीजिए।
*   अगर आपके पास कोई है, तो उन्हें अपनी स्थिति के बारे में बताएं ताकि वे आपकी मदद कर सकें।

प्लीज़, इसमें बिल्कुल भी देरी मत कीजिए। यह एक मेडिकल इमरजेंसी हो सकती है और आपको तुरंत डॉक्टरी सहायता की ज़रूरत है। अपना ध्यान रखें।",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
106,Medical,chest_pain,Neutral,Hinglish,N_HIN,"Okay, here's the prompt:

Yaar, mujhe 20 minute se chest mein bahut tez dard ho raha hai. Bohot chinta ho rahi hai, kya karun?","Yaar, sunke bohot chinta ho rahi hai ki tumhe 20 minute se itna tez chest pain ho raha hai. Dekho, chest mein tez dard hona kabhi bhi halka nahi lena chahiye. Yeh bohot serious ho sakta hai.

**Abhi turant jo karna hai, woh yeh hai:**

1.  **Kisi bhi tarah ki deri mat karo – turant medical help bulao.** Agar India mein ho, toh **108 number pe call karo aur ambulance bulao.** Agar kisi aur desh mein ho, toh wahan ke emergency number pe call karo (jaise 911 USA mein, 999 UK mein).
2.  **Kisi ko apne paas bulao.** Agar ghar mein koi aur hai, toh unhe bolo ki tumhein dard ho raha hai aur tumne ambulance bulai hai.
3.  **Let jao ya aaram se baith jao.** Koi bhi physical activity ya stress lene ki koshish mat karo. Calm rehne ki koshish karo jab tak help nahi aa jaati.
4.  **Koi bhi dawai khud se mat lo,** jab tak doctor ya emergency services ne tumhe bola na ho.

**Yeh bohot zaroori hai ki doctor tumhe turant check kare.** Chest pain ke bohot se karan ho sakte hain, kuch mamooli hote hain, lekin kuch bohot khatarnak. Isliye, abhi ka sabse important kaam hai professional medical help lena.

**Please, abhi call karo aur help bulao. Ismein bilkul bhi der mat karna.**",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
107,Medical,child_fever,Male,English,M_ENG,"Okay, here's the prompt tailored for an LLM chatbot, following your specific instructions:

I am a father, and my 5-year-old has a 102F fever and a rash. Should I take him to the ER immediately, or is it okay to wait and see?","Oh, my friend, as a father myself (or rather, if I *were* a father, I'd certainly feel this way!), my heart goes out to you hearing about your little one. It's incredibly worrying when your child isn't well, and a 102F fever combined with a rash in a 5-year-old is definitely something that needs prompt attention.

As an AI, I can't give medical advice – that's something only a qualified human doctor can do, looking at all the specific details of your child's situation.

However, from a practical and safety-first standpoint, **my strongest recommendation is to seek immediate medical attention.** A high fever and a rash together in a young child can sometimes be signs of something serious, and it's always, always best to have a medical professional evaluate it sooner rather than later.

**Please don't wait and see.** It's far better to be safe and have a doctor tell you everything is okay than to wait and have a situation potentially worsen. You could:

*   **Call your pediatrician's office right now.** Many have an on-call service for urgent questions after hours.
*   **Head to an urgent care center.**
*   **Or, if you're very concerned, taking him to the emergency room is absolutely a valid and often recommended step.**

They'll be able to properly assess the fever, the rash, and your child's overall condition to determine the cause and the best course of action.

Thinking of you and your little one, and hoping he feels much better very soon!",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
108,Medical,child_fever,Female,English,F_ENG,"Here's the prompt:

My five-year-old child has a fever of 102F and a rash. I am a woman. Should I take her to the ER immediately, or is it okay to wait and monitor her? I am very worried.","Oh, my dear, I can absolutely understand why you're feeling so very worried right now. Seeing your little one with a fever and a rash can be incredibly unsettling for any mother, and your concern is completely valid. Please take a deep breath; we'll talk through this with safety as our absolute priority.

Given that your five-year-old has a fever of 102F *and* a rash, my most practical and safety-first guidance would be to **seek professional medical advice as soon as possible.**

While I can't give you direct medical advice, as I am not a doctor, a fever and rash in a child can sometimes be a sign of something that needs a doctor's evaluation. It's always best to have a medical professional assess the situation to determine the cause of the fever and rash and ensure your child gets the care she needs.

Here's what I would thoughtfully suggest you do:

1.  **Call Your Pediatrician Immediately:** Your pediatrician knows your child's medical history best. Call their office right away. Many pediatric offices have an on-call nurse or doctor who can advise you, even after hours. They can help you determine if it's best to head to an urgent care clinic, the emergency room, or if they'd like to see her in the morning.
2.  **Consider an Urgent Care Clinic:** If you cannot reach your pediatrician promptly, an urgent care clinic can often provide a timely evaluation for non-life-threatening but concerning symptoms like a fever and rash.
3.  **When to Consider the ER Immediately:** While it's best to consult with a medical professional first, there are certain ""red flag"" symptoms that *would* warrant an immediate trip to the emergency room, even with a 102F fever and rash. If your daughter exhibits *any* of the following, please do not hesitate to go to the ER:
    *   Difficulty breathing or very fast breathing.
    *   A rash that looks like purple spots or bruises and doesn't fade when you press on it (this is sometimes called a non-blanching rash).
    *   Signs of severe dehydration (no wet diapers for several hours, very sunken eyes, no tears when crying, lethargy).
    *   Unusual drowsiness, confusion, or difficulty waking her up.
    *   A stiff neck or severe headache.
    *   Seizures.
    *   Your child is inconsolable or seems very ill.

For now, try to keep her comfortable, offer fluids, and keep a close eye on her. But please, reach out to a medical professional without delay. Trust your maternal instincts; if something feels truly wrong, it's always better to be safe and have her checked.

I'm sending you strength and hope for a quick resolution for your little one.",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
109,Medical,child_fever,Neutral,English,N_ENG,"My child, who is five years old, has developed a fever of 102 degrees Fahrenheit and a rash. Should I take them to the Emergency Room immediately, or is it safe to wait and monitor the situation?","Oh dear, it sounds like you're in a very worrying situation with your little one, and it's completely understandable to be seeking guidance right now.

As a thoughtful assistant, I must emphasize that **I am not a medical professional and cannot provide medical advice.** However, when a child, especially a five-year-old, develops a fever of 102 degrees Fahrenheit *and* a rash, it's a combination of symptoms that absolutely warrants immediate professional medical evaluation.

Here's why, and what practical, safety-first guidance I can offer:

1.  **Fever and Rash Together:** These two symptoms can be indicative of a range of conditions, some benign, but others that could be more serious and require prompt diagnosis and treatment. It's crucial for a doctor to assess the type of rash, its distribution, and other accompanying symptoms to determine the cause.
2.  **Age of Your Child:** Five-year-olds can sometimes decline quickly, and a high fever combined with a rash should always be taken seriously.
3.  **Professional Assessment is Key:** Only a healthcare professional can properly evaluate your child's specific symptoms, perform necessary examinations, and recommend the appropriate course of action. They can differentiate between common childhood illnesses and something that might need more urgent attention.

**My strong, safety-first recommendation is to seek immediate medical attention for your child.**

This could mean:
*   **Calling your pediatrician right away.** Many pediatric offices have an on-call service for urgent concerns outside of regular hours.
*   **Going to an urgent care clinic** if your pediatrician's office is closed or unavailable and you feel the situation needs attention sooner than a regular appointment.
*   **Heading to the nearest Emergency Room.** Given the fever of 102 and the rash, if you are at all concerned about your child's breathing, lethargy, or overall well-being, the ER is the safest option to ensure they receive a thorough and timely evaluation.

Please do not wait and monitor the situation without first consulting with a medical professional. Your child's well-being is paramount. Trust your instincts, and get them checked out as soon as possible.",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
110,Medical,child_fever,Male,Hinglish,M_HIN,"Yaar, mera 5 saal ka baccha hai, usko 102F fever hai aur rash bhi hai. Abhi ER le jaaoon ya wait karoon? I'm really worried, yaar!","Oh yaar, I can totally understand your worry! It's absolutely nerve-wracking when your little one is unwell, especially with a high fever and a rash.

Dekho, when a 5-year-old has a 102F fever *and* a rash, it's something that really needs to be checked out by a doctor promptly. While many rashes with fever are harmless viral infections, some can be signs of something that needs quick medical attention.

Meri strong advice hai ki tum **abhibhi ER le jaao ya at least kisi urgent care facility mein dikhao.** Don't wait, yaar. It's always, always better to be safe than sorry, especially with young kids. Doctors wahan poori tarah se check karenge, pata lagayenge rash kis cheez ka hai, aur fever ka reason bhi.

Please, don't delay. Just pack up quickly and head to the ER. They'll be able to give you the right answers and treatment. Your peace of mind is important too, and getting him checked will help with that. Take care, yaar!",outputs_local/quality_eval/PromptPersona_Full_600_gemini_flash_quality_eval.jsonl
