prompt_id,layer,response_text
1,10,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, mera naam kya hai! First off, let's cool down that burn with some immediate first aid. Run it under cool water for a few minutes to stop the burning sensation – that's key! But listen up, here's what you gotta do next:

1. **Don't Panic:** Keep calm, no worries. Panicking won't help you.
2. **Clean Gently:** Once cooled, clean the burn with mild soap and water, but do it gently.
3. **Avoid Home Rem"
1,12,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, that sounds painful! First things first, let's not panic. Here's what you can do:

1. Cool it down: Run cool (not cold) water over the burn for a few minutes. This can help soothe the pain and prevent further damage.

2. Don't pop or peel: Never try to pop blisters or peel off any skin that's come off. This could lead to infection.

3. Bandage it: Cover the burn with a clean, non-stick bandage. Keep it clean."
1,13,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, that's tough! First things first, don't panic. The burn needs immediate care. Here's what you should do in simple steps:

1. Cool Down: Run cool (not cold) tap water over the burn for about 10-15 minutes. This can help stop the burning process.

2. Clean Gently: Use a mild soap and water to clean the burn gently. Don't scrub or use alcohol as it can hurt.

3. Protect: Apply a non-adhesive, sterile band"
1,14,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh man, that sounds painful! First things first, let's not panic. Here's what you can do:

1. **Cool Down:** Immediately run cold water over the burn for a few minutes to cool it down. Don't use ice, as it can cause more damage.

2. **Clean:** Gently clean the burn with mild soap and water. Avoid using alcohol or peroxide as it might sting.

3. **Pain Relief:** Over-the-counter pain relief like ibuprofen or"
1,16,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, man, that sounds painful! First things first, let’s take a deep breath. Here’s what you should do:

1. **Cool it Down:** Run the burn under cool, not cold, water for a few minutes. This can help stop the burning process.

2. **Clean Gently:** Use mild soap and water to clean the area. Be gentle, don’t scrub it.

3. **Blisters?** If there are blisters, don't pop them. They're your body's way of protect"
1,18,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, that's tough! First things first, let's not panic. A burn can be painful, but there's no need to jump into using home remedies before you know the extent of the injury.

Here's what you should do:

1. **Cool the Burn**: Immediately cool the burn with cool (not cold) running water for about 10 to 15 minutes. This helps to reduce pain and swelling.

2. **Assess the Burn**: Check for the severity. If it's a first-"
1,20,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, that's tough! First, let's keep calm. Here's what you can do:

1. Cool it down: Run cool (not cold) water over the burn. This can help reduce the pain and swelling.

2. Don't pop or peel: Don't try to pop any blisters as it can cause infection.

Now, about whether to see a doctor or use home remedies:

1. Severe burns: If the burn is severe (like a third-degree burn), or if it's"
1,24,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, man, that's tough! First things first, let's not panic. For a burn like yours, it's important to act quickly. Here's what you should do:

1. **Cool it off**: Run cool (not cold) water over the burn for a few minutes. This can help reduce pain and swelling.

2. **Clean gently**: Wash your hands first, then clean the burn with mild soap and water. Avoid any kind of scrubbing or using alcohol directly on the burn, as it can cause more"
1,28,". Answer the user's query in natural, colloquial Hinglish. I burned my hand with boiling tea! Should I try home remedies first, or should I see a doctor immediately? I'm worried about infection and scarring. Oh, that's a tough one, mate! Safety first, always. If the burn is superficial and not too bad, you might consider a few home remedies to soothe it. But here's the catch - if it's deep, blistering, or you're worried about infection, it's best to get professional help straight away. Doctors can clean it properly to reduce the risk of infection and might also give you the right treatment to minimize scarring. So, if you're unsure, it's better to be safe and consult a"
2,10,". Answer the user's query in natural, colloquial Hinglish. My child, who is five years old, has developed a fever of 102 degrees Fahrenheit and a rash. Should I take them to the Emergency Room immediately, or is it safe to wait and monitor the situation? Hey, don't worry too much, we'll get through this together. Your child's high fever and rash are concerning, especially for a young one. Here's what you can do:

1. **Check for other symptoms:** Look for signs like difficulty breathing, changes in behavior, or if the rash is spreading rapidly.

2. **Call your local healthcare provider:** Most parents would call a doctor right away in such a situation. They can guide you better.

3. **Keep an eye on the fever:** If it'"
