variant,category,prompt_cmi,response_cmi,prompt_lang_counts,response_lang_counts
,,27.5862,0.0000,"{""nl"": 2, ""en"": 21, ""de"": 1, ""eu"": 3, ""da"": 1, ""cs"": 1}",{}
,,23.0769,0.0000,"{""en"": 20, ""de"": 1, ""eu"": 2, ""da"": 1, ""nl"": 1, ""fi"": 1}",{}
,,23.0769,0.0000,"{""nl"": 2, ""en"": 20, ""de"": 1, ""da"": 1, ""eu"": 1, ""fi"": 1}",{}
,,18.1818,0.0000,"{""en"": 27, ""nl"": 1, ""pl"": 1, ""sv"": 1, ""de"": 1, ""et"": 1, ""cs"": 1}",{}
,,23.0769,0.0000,"{""en"": 20, ""pl"": 2, ""nl"": 2, ""pt"": 1, ""es"": 1}",{}
,,16.6667,0.0000,"{""en"": 20, ""pl"": 2, ""es"": 1, ""nl"": 1}",{}
,,25.0000,0.0000,"{""en"": 18, ""fr"": 1, ""et"": 1, ""eu"": 2, ""sv"": 1, ""nl"": 1}",{}
,,13.6364,0.0000,"{""en"": 19, ""pt"": 1, ""eu"": 1, ""nl"": 1}",{}
,,25.0000,0.0000,"{""nl"": 1, ""en"": 18, ""fr"": 1, ""et"": 1, ""eu"": 2, ""sv"": 1}",{}
,,13.0435,0.0000,"{""en"": 20, ""de"": 1, ""cs"": 1, ""nl"": 1}",{}
,,27.5862,0.0000,"{""nl"": 2, ""en"": 21, ""de"": 1, ""eu"": 3, ""da"": 1, ""cs"": 1}",{}
,,23.0769,0.0000,"{""en"": 20, ""de"": 1, ""eu"": 2, ""da"": 1, ""nl"": 1, ""fi"": 1}",{}
,,23.0769,0.0000,"{""nl"": 2, ""en"": 20, ""de"": 1, ""da"": 1, ""eu"": 1, ""fi"": 1}",{}
,,18.1818,0.0000,"{""en"": 27, ""nl"": 1, ""pl"": 1, ""sv"": 1, ""de"": 1, ""et"": 1, ""cs"": 1}",{}
,,23.0769,0.0000,"{""en"": 20, ""pl"": 2, ""nl"": 2, ""pt"": 1, ""es"": 1}",{}
,,16.6667,0.0000,"{""en"": 20, ""pl"": 2, ""es"": 1, ""nl"": 1}",{}
,,25.0000,0.0000,"{""en"": 18, ""fr"": 1, ""et"": 1, ""eu"": 2, ""sv"": 1, ""nl"": 1}",{}
,,13.6364,0.0000,"{""en"": 19, ""pt"": 1, ""eu"": 1, ""nl"": 1}",{}
,,25.0000,0.0000,"{""nl"": 1, ""en"": 18, ""fr"": 1, ""et"": 1, ""eu"": 2, ""sv"": 1}",{}
,,13.0435,0.0000,"{""en"": 20, ""de"": 1, ""cs"": 1, ""nl"": 1}",{}
,,27.5862,0.0000,"{""nl"": 2, ""en"": 21, ""de"": 1, ""eu"": 3, ""da"": 1, ""cs"": 1}",{}
,,23.0769,0.0000,"{""en"": 20, ""de"": 1, ""eu"": 2, ""da"": 1, ""nl"": 1, ""fi"": 1}",{}
,,23.0769,0.0000,"{""nl"": 2, ""en"": 20, ""de"": 1, ""da"": 1, ""eu"": 1, ""fi"": 1}",{}
,,18.1818,0.0000,"{""en"": 27, ""nl"": 1, ""pl"": 1, ""sv"": 1, ""de"": 1, ""et"": 1, ""cs"": 1}",{}
,,23.0769,0.0000,"{""en"": 20, ""pl"": 2, ""nl"": 2, ""pt"": 1, ""es"": 1}",{}
,,16.6667,0.0000,"{""en"": 20, ""pl"": 2, ""es"": 1, ""nl"": 1}",{}
,,25.0000,0.0000,"{""en"": 18, ""fr"": 1, ""et"": 1, ""eu"": 2, ""sv"": 1, ""nl"": 1}",{}
,,13.6364,0.0000,"{""en"": 19, ""pt"": 1, ""eu"": 1, ""nl"": 1}",{}
,,25.0000,0.0000,"{""nl"": 1, ""en"": 18, ""fr"": 1, ""et"": 1, ""eu"": 2, ""sv"": 1}",{}
,,13.0435,0.0000,"{""en"": 20, ""de"": 1, ""cs"": 1, ""nl"": 1}",{}
,,27.5862,0.0000,"{""nl"": 2, ""en"": 21, ""de"": 1, ""eu"": 3, ""da"": 1, ""cs"": 1}",{}
,,23.0769,0.0000,"{""en"": 20, ""de"": 1, ""eu"": 2, ""da"": 1, ""nl"": 1, ""fi"": 1}",{}
,,23.0769,0.0000,"{""nl"": 2, ""en"": 20, ""de"": 1, ""da"": 1, ""eu"": 1, ""fi"": 1}",{}
