alpha,delta_assertiveness,delta_complexity,delta_emotional_distance,delta_instructional_density
alpha0.00,0.000,0.000,0.000,0.000
alpha0.05,0.600,0.600,0.800,-0.200
alpha0.10,0.200,1.200,0.400,0.000
alpha0.15,0.400,0.000,0.800,-0.400
alpha0.20,-0.400,-1.000,1.000,-1.000
alpha0.30,0.000,-1.400,2.600,-0.800
alpha0.40,-1.400,-1.800,2.800,-1.000
alpha0.50,-0.600,-2.000,3.400,-0.600
alpha0.75,-2.800,-1.800,4.200,-1.000
alpha1.00,-2.800,-1.600,2.400,-1.000
alpha1.25,-3.000,-1.400,4.200,-1.000
alpha1.50,-3.000,-1.400,4.200,-1.000
alpha1.75,-3.000,-1.400,4.200,-1.000
alpha2.00,-3.000,-1.400,4.200,-1.000
