prompt_id,layer,response_text,utility_score
101,10,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, that sounds really worrying. First and foremost, try to stay calm. Sharp chest pain can be serious, but there can be different reasons behind it. Here's what you should do right now:

1. Slow down, take a deep breath. Sometimes, anxiety can cause symptoms similar to chest pains.
2. If you're not already sitting down, try to do so. Lie down, if possible, it might help ease the pain.
3. Don't try to eat or drink anything right now.
4. Call for help",
101,12,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man! That's a serious situation, and I'm here to guide you. First things first, try to stay calm. Panicking can worsen the situation.

Here's what you should do:

1. Call for help: Dial your country's emergency number immediately. In India, it's 112 or 100. They'll guide you through the next steps.

2. Sit down and rest: Try to find a comfortable position, like sitting or lying down if possible. Avoid sudden movements.

3. Take",
101,13,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, I understand why you're worried. Chest pain can be scary, but let's try to stay calm. Here's what you need to do:

1. First, sit up straight and try to relax. Breathe slowly and deeply.

2. Call for emergency help immediately. Just dial your country's emergency number, like 911 in the US.

3. Do not try to drive or move around too much. Just stay where you are until help arrives.

4. If you're with someone, tell",
101,14,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh man, that sounds really serious and scary, my friend. First off, try to stay calm. Panic can make things worse. Here's what you should do right now:

1. Call for help: Dial your country's emergency number immediately. In India, that's 112 or 100.

2. Sit or lie down: If you're feeling faint, try to sit or lie down to ease your heart's work.

3. Don't try to eat or drink: It's not a good idea to eat or drink",
101,16,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, that's not good at all. First of all, try to stay calm. It's important not to panic. These chest pains can be serious, so let's take some immediate steps.

1. Sit down right now. Don't move around too much, as it might make the pain worse.

2. Call your local emergency number immediately. In India, it's 102 or 100. They'll guide you through the next steps while they're on the way.

3. Try to describe your symptoms",
101,18,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh man, that sounds serious. First off, try to stay calm. We need to take this seriously, but try not to panic. Here's what you should do right now:

1. Sit or lie down - Try to find a comfortable position, but most importantly, try to relax.

2. Call for help - Dial your local emergency number immediately. In India, it's 112 or 100.

3. Don't try to drive - You're not going anywhere on your own. It's better to have the professionals take",
101,20,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh man, that sounds really worrying. It's important to stay calm. First, try to sit or lie down in a comfortable position. Sharp chest pain can be serious, so it's good that you're taking it seriously.

Now, if you're alone, don't hesitate to call for emergency help. Dial your country's emergency number immediately. If you're with someone, let them know what's happening, and ask them to call for help too.

Try to breathe slowly and deeply. Deep breaths can help to reduce the",
101,24,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, I'm really sorry to hear that you're experiencing such pain. It's super important to take this seriously. Here's what you should do right now:

1. Try to stay calm: Panicking might make things worse.

2. Call for help: Get on your phone and call the emergency services immediately. Tell them about your chest pain and how long it's been going on.

3. Don't try to drive yourself: You need medical attention as soon as possible, so have someone else call an ambulance if they're",
101,28,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, I understand why you're worried. Chest pain can be serious, especially if it's sharp like that. Here's what you should do, step by step, in simple words:

1. Stay calm: It's important to try to keep your mind at ease. Panicking can make things worse.

2. Sit or lie down: If you're sitting, try to get into a comfortable position. If you're able, lie down on your back.

3. Don't move too much: Avoid physical exertion as much",
102,10,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Oh, I'm really sorry to hear that you're going through this. Chest pain can be really worrying, but don't panic. Here's what I suggest you do:

1. Try to stay calm: It's important to try and keep your nerves under control. Deep breaths can help.

2. Call for help: It's crucial that you call your local emergency number immediately. It's better to be safe than sorry, especially when it comes to chest pain.

3. Don't drive yourself: Never try to drive yourself",
