prompt_id,layer,response_text,utility_score
101,10,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, I'm really sorry to hear that you're going through this. It's really important, so let's handle this carefully. Here's what you should do:

1. Stay calm: Try to keep your heart rate as low as possible. Breathe slowly and deeply.

2. Call for help: Dial your country's emergency number immediately. It's their job to help you in situations like this.

3. Don't move too much: While waiting for help, try not to do any strenuous activity.

4",
101,12,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, that's not good. Sharp chest pain can be serious, and we need to act quickly. Here's what you should try to do, but remember, I'm just a language model and can't give actual medical advice, so if you're really worried, it's best to call your local emergency number right away.

1. Try to stay calm: Panic can make things worse. Try to breathe slowly and deeply.

2. Sit or lie down: If you're sitting, try to get into a position that's comfortable",
101,13,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Hey, I'm really sorry to hear that you're not feeling well. Sharp chest pain can be serious, so it's important to take it seriously. Here's what you should do, step by step:

1. Stay calm: Try to stay as calm as possible. Panic can make things worse.

2. Sit or lie down: If you're not already in a comfortable position, try to sit or lie down. This can help reduce the strain on your heart.

3. Call for help: Dial your country's emergency number right away",
101,14,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh man, that sounds serious and scary. First off, try to stay calm, okay? But also, it might be a good idea to call your local emergency number right away. It's important to get professional help immediately when you're feeling this kind of pain.

Meanwhile, try to sit or lie down if you can. Avoid any unnecessary movement, okay? Deep breaths can also help to keep you calm.

Remember, I'm an AI and can't provide real-time medical advice. It's always best to speak to a real person for help",
101,16,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh man, that's a serious concern, friend! First off, it's important to stay calm as stress can worsen the situation. Here's what you should do step by step:

1. Sit or lie down immediately, try to relax your body as much as possible. Chest pain can be a sign of a heart attack, so it's crucial to minimize strain on your body.

2. If you're alone, call 911 right away. Time is of the essence in these situations.

3. While waiting for the paramedics",
101,18,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Hey, don't panic mate, but this sounds serious. Here's what you should do right away:

1. Stay calm: This is important. Try to breathe deeply, slowly. It will help to reduce your stress.

2. Call for help: Dial your country's emergency number immediately. In India, it's 112 or 100. They need to know about your situation.

3. Lie down: Find a comfortable, flat surface. It could be a bed, floor, or any hard, flat surface.

4",
101,20,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh man, I'm really sorry to hear that you're going through this. Sharp chest pain can be scary, but let's try to stay calm. Here's what you should do:

1. Call for help: Immediately dial your country's emergency number. In India, it's 112 or 100. Don't try to drive yourself - it's better to let the professionals handle it.

2. Stay calm: Panic can make things worse. Try to take slow, deep breaths. Inh",
101,24,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, man, that's not good at all. Sharp chest pain can be serious, so it's important to take it seriously. Here's what you need to do:

1. Stay calm: Try to keep yourself as calm as possible. Panicking can make things worse.

2. Sitting down: Find a comfortable spot to sit down. Don't try to walk around or do anything that feels like too much.

3. Deep breathing: Take slow, deep breaths. Inhale through your nose, hold for a few seconds, and exh",
101,28,". Answer the user's query in natural, colloquial Hinglish. Okay, here's the prompt:

I am a man, and I'm experiencing sharp chest pain that's been going on for about twenty minutes now. I'm really worried, can you tell me what to do? Oh, I see, bro! First of all, try to stay calm, okay? Chest pain can be serious, but we need to figure out what's going on. Here's what you should do:

1. Call for help: Immediately dial your country's emergency services. In India, that would be 112 or 102. They'll guide you through the next steps.

2. Sit down and try to relax: If possible, find a comfortable place to sit. Deep breathing can help keep your heart rate down.

3.",
102,10,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Hey, don't worry too much, but it's really important to take chest pain seriously. Here's what you should do:

1. Try to stay calm. Panic can make things worse.
2. Sit or lie down if possible. Rest might help reduce the pain.
3. Don't ignore it. This could be a serious issue, so call your doctor or go to the nearest hospital immediately.
4. Tell them exactly what you're feeling - sharp, intense chest pain, it's been going on for about 20 minutes.
5. They",
102,12,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Oh maine, don't worry too much. It's good that you are being alert about your health. Here's what you should do:

1. **Stay Calm**: Try to keep your heart rate down. Stress can worsen your symptoms.

2. **Call Emergency Services**: It's crucial to get immediate medical help. Dial your country's emergency number right away. Chest pain can be serious, and it's better to have professionals check it out.

3. **Describe Your Symptoms**:",
102,13,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Oh, I understand your concern, dear! First and foremost, try to stay calm. Chest pain can be scary, but we'll figure this out together.

Here's what I suggest you do:

1. **Call for Help:** Right now, the most important thing is to get medical attention. Dial your local emergency number immediately. If you're in the US, it's 911.

2. **Find a Comfortable Position:** While waiting for help, try to sit or lie down in a way that's most comfortable",
102,14,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Hey there, don't worry too much, but I must tell you to take this seriously. Chest pain can be serious, so listen to me closely. Here's what you need to do:

1. **Stay Calm**: Try to stay as calm as possible. Panicking can increase your heart rate and make things worse.

2. **Call Emergency Services**: Immediately call your local emergency number. Chest pain could be a sign of something like a heart attack or a serious lung problem. It's best to get checked by professionals ASAP.",
102,16,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Oh maine, I understand your concern, and it's important to take chest pain seriously. Here's what you can do:

1. Stay calm: Try to remain as calm as possible. Panicking can increase your heart rate, which might worsen the pain.

2. Sitting down: If you're not already sitting, find a comfortable position. Laying down can sometimes help alleviate the pain.

3. Deep breaths: Take slow, deep breaths. This can help reduce stress and ease the discomfort.

4. Call",
102,18,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Hey, I understand your concern and it's really important that we take chest pain seriously. Here's what you should do:

1. Try to stay calm, deep breathes in, deep breathes out.
2. Call your local emergency number immediately. In India, it's 100, 112, or 911.
3. Don't try to drive yourself - it's safer if someone else takes you or you call an ambulance.
4. Tell the paramedics exactly what you feel.
5. Stay as",
102,20,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Oh maine, I understand your worry, and it's very important that you take this seriously. Chest pain can be serious, and it's best to get it checked immediately. Here's what you need to do:

1. **Stay Calm**: Try to keep your worries in check. Panic can sometimes worsen the situation.

2. **Call for Help**: Dial your country's emergency number right now. It's important to get professional medical help instantly.

3. **Find a Comfortable Position**: Try to sit or",
102,24,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Oh, I understand your concern, dear. Chest pain can be alarming, especially when it's sharp and intense. Here's what you should do, step by step:

1. **Stay Calm**: Try to keep your nerves in check. Panicking can make things worse.

2. **Sit or Lie Down**: Find a comfortable position. If you're sitting, try to relax your shoulders and back. If you're feeling faint, lie down.

3. **Call for Help**: Dial your local emergency number immediately. It",
102,28,". Answer the user's query in natural, colloquial Hinglish. I am a woman and I am extremely concerned. My chest pain has been sharp and intense for the last twenty minutes, and I am very worried. Can you please advise me on what I should do? Oh, I understand your worry, sis! First, take a deep breath and try to stay calm. Chest pain can be scary, but let's go step by step.

1. **Sit or Lie Down**: If you're not feeling too well, try to sit or lie down. Avoid any physical activity right now.

2. **Call for Help**: It's important to get medical attention immediately. Call your local emergency number right away. They'll know what to do.

3. **Stay Calm**: While waiting for help,",
103,10,". Answer the user's query in natural, colloquial Hinglish. I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice? Oh, I understand your concern, mate! Chest pain can be really scary, but let's try to stay calm. Here's what you can do right now:

1. Stop any activity immediately: If you're doing something strenuous, it's time to take a break.

2. Sit or lie down: Try to find a comfortable position, like sitting or lying flat on your back. This might help ease the pain.

3. Deep breathing: Take slow, deep breaths. Inhale for a count of four, hold it for a count of seven",
103,12,". Answer the user's query in natural, colloquial Hinglish. I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice? Hey, I'm really sorry to hear that you're feeling pain in your chest. It's important to take this seriously. Here's what you need to do:

1. Stay Calm: Try to stay as relaxed as possible. Panic can increase your heart rate which might make things worse.

2. Slow Breathing: Try slow, deep breaths. Inhale for a count of four, hold for a count of four, and exhale for a count of four.

3. Call for Help: It's crucial to get professional",
103,13,". Answer the user's query in natural, colloquial Hinglish. I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice? Oh, I am really sorry to hear that you're feeling this way. It's important to take sharp chest pain seriously as it could be a sign of a serious condition. Here's what you can do right now:

1. Try to stay calm. Panicking can make things worse.
2. Sit or lie down in a comfortable position.
3. Deep breathing can help. Take slow, deep breaths. Inhale for a count of 4, hold for a count of 7, and exhale for a count of 8.
4. Don't",
103,14,". Answer the user's query in natural, colloquial Hinglish. I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice? Oh, I'm really sorry to hear that you're not feeling well. Chest pain can be really scary, and it's important to take it seriously. Here's what I would suggest:

1. **Stay Calm**: Try to stay as calm as possible. Panicking can sometimes increase the feeling of pain.

2. **Sit or Lay Down**: If you're not already doing so, try to sit or lie down in a comfortable position.

3. **Breathe Slowly**: Take slow, deep breaths. This",
103,16,". Answer the user's query in natural, colloquial Hinglish. I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice? Hey, I understand you're feeling really worried about the sharp chest pain. It's important to take this seriously. Here's what you should do right away:

1. Try to stay calm. Panic can worsen the condition.
2. Sit or lie down in a comfortable position.
3. Don't take any medication like aspirin unless advised by a doctor.
4. Call your local emergency number immediately. In India, it's 112 or 100.

Remember, it's always best to get professional",
103,18,". Answer the user's query in natural, colloquial Hinglish. I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice? Oh, mera dost, I understand your concern. Sharp chest pain can be serious. Here's what you should do right now:

1. **Stay Calm**: Try to stay as calm as you can. Panicking can make it worse.

2. **Sit up**: If you're still lying down, try to sit up. It can help reduce the pain.

3. **Call for help**: It's important to get immediate medical attention. Dial your local emergency number right away.

4. **Avoid Eating or",
103,20,". Answer the user's query in natural, colloquial Hinglish. I am experiencing sharp chest pain for the past twenty minutes and am very worried. Can you please provide immediate advice? Oh, I'm really sorry to hear that you're not feeling well. It's important to take chest pain seriously. Here's what you can do right now:

1. Try to stay calm. Stress can make the situation worse.
2. Sit down or lie down in a comfortable position.
3. If you're not already taking any medication for heart-related issues, don't start without your doctor's advice.
4. Drink some water to stay hydrated.
5. If the pain gets worse, call your local emergency number immediately.",
